????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1399/11/25,37,23,71,22,47,72,72,,1,,,,
?? ??????? ??,1399/11/26,44,22,84,23,59,92,92,,1,,,,
?? ??????? ??,1399/11/27,39,22,84,28,58,90,90,,1,,,,
?? ??????? ??,1399/11/28,39,51,88,31,61,100,100,,1,,,,
?? ??????? ??,1399/11/29,25,52,78,30,60,92,92,,1,,,,
?? ??????? ??,1399/11/30,23,22,68,21,51,67,68,,1,,,,
?? ??????? ??,1399/12/01,23,33,51,12,31,51,51,,1,,,,
?? ??????? ??,1399/12/02,24,28,59,14,30,55,59,,1,,,,
?? ??????? ??,1399/12/03,25,25,60,19,37,57,60,,1,,,,
?? ??????? ??,1399/12/04,26,24,62,16,39,60,62,,1,,,,
?? ??????? ??,1399/12/05,22,27,56,21,41,60,60,,1,,,,
?? ??????? ??,1399/12/06,24,24,55,25,43,60,60,,1,,,,
?? ??????? ??,1399/12/07,25,16,55,16,55,69,69,,1,,,,
?? ??????? ??,1399/12/08,19,22,42,11,72,76,76,,1,,,,
?? ??????? ??,1399/12/09,27,24,65,20,64,82,82,,1,,,,
?? ??????? ??,1399/12/10,30,28,77,27,73,117,117,,,1,,,
?? ??????? ??,1399/12/11,31,27,84,30,70,113,113,,,1,,,
?? ??????? ??,1399/12/12,27,30,66,23,59,90,90,,1,,,,
?? ??????? ??,1399/12/13,27,26,62,18,52,73,73,,1,,,,
?? ??????? ??,1399/12/14,19,30,49,16,41,64,64,,1,,,,
?? ??????? ??,1399/12/15,19,51,55,18,44,67,67,,1,,,,
?? ??????? ??,1399/12/16,22,32,56,16,30,54,56,,1,,,,
?? ??????? ??,1399/12/17,30,25,71,33,50,76,76,,1,,,,
?? ??????? ??,1399/12/18,29,24,67,29,53,76,76,,1,,,,
?? ??????? ??,1399/12/19,25,53,70,21,54,81,81,,1,,,,
?? ??????? ??,1399/12/20,18,33,45,24,39,63,63,,1,,,,
?? ??????? ??,1399/12/21,25,26,51,24,57,83,83,,1,,,,
?? ??????? ??,1399/12/22,26,18,45,13,50,76,76,,1,,,,
?? ??????? ??,1399/12/23,23,13,41,9,18,49,49,1,,,,,
?? ??????? ??,1399/12/24,27,16,55,17,52,90,90,,1,,,,
?? ??????? ??,1399/12/25,24,52,68,24,71,134,134,,,1,,,
?? ??????? ??,1399/12/26,28,16,78,30,80,141,141,,,1,,,
?? ??????? ??,1399/12/27,27,50,81,33,94,153,153,,,,1,,
?? ??????? ??,1399/12/28,26,20,51,14,84,119,119,,,1,,,
?? ??????? ??,1399/12/29,22,27,53,16,65,87,87,,1,,,,
?? ??????? ??,1399/12/30,15,31,37,9,26,43,43,1,,,,,
?? ??????? ??,1400/01/01,20,37,48,11,27,43,48,1,,,,,
?? ??????? ??,1400/01/02,25,36,53,13,28,48,53,,1,,,,
?? ??????? ??,1400/01/03,19,53,47,11,53,73,73,,1,,,,
?? ??????? ??,1400/01/04,21,88,41,11,69,89,89,,1,,,,
?? ??????? ??,1400/01/05,29,54,50,16,86,112,112,,,1,,,
?? ??????? ??,1400/01/06,15,61,31,11,100,123,123,,,1,,,
?? ??????? ??,1400/01/07,21,57,50,13,83,96,96,,1,,,,
?? ??????? ??,1400/01/08,14,54,25,8,74,82,82,,1,,,,
?? ??????? ??,1400/01/09,19,50,47,12,35,49,50,1,,,,,
?? ??????? ??,1400/01/10,20,52,51,20,50,62,62,,1,,,,
?? ??????? ??,1400/01/11,23,37,54,14,44,55,55,,1,,,,
?? ??????? ??,1400/01/12,22,29,58,20,52,68,68,,1,,,,
?? ??????? ??,1400/01/13,30,22,68,25,59,81,81,,1,,,,
?? ??????? ??,1400/01/14,24,55,51,15,60,76,76,,1,,,,
?? ??????? ??,1400/01/15,17,51,47,12,47,56,56,,1,,,,
?? ??????? ??,1400/01/16,26,54,60,17,43,60,60,,1,,,,
?? ??????? ??,1400/01/17,23,52,63,16,45,61,63,,1,,,,
?? ??????? ??,1400/01/18,27,27,57,18,73,94,94,,1,,,,
?? ??????? ??,1400/01/19,30,52,70,23,78,108,108,,,1,,,
?? ??????? ??,1400/01/20,25,57,68,28,78,112,112,,,1,,,
?? ??????? ??,1400/01/21,26,53,62,15,68,92,92,,1,,,,
?? ??????? ??,1400/01/22,18,53,48,23,72,91,91,,1,,,,
?? ??????? ??,1400/01/23,19,58,49,15,57,77,77,,1,,,,
?? ??????? ??,1400/01/24,22,81,56,13,56,72,81,,1,,,,
?? ??????? ??,1400/01/25,21,52,56,14,63,77,77,,1,,,,
?? ??????? ??,1400/01/26,20,37,52,14,60,78,78,,1,,,,
?? ??????? ??,1400/01/27,20,77,52,18,42,60,77,,1,,,,
?? ??????? ??,1400/01/28,19,54,53,18,43,61,61,,1,,,,
?? ??????? ??,1400/01/29,21,61,77,24,59,80,80,,1,,,,
?? ??????? ??,1400/01/30,26,62,78,18,52,68,78,,1,,,,
?? ??????? ??,1400/01/31,27,60,65,21,66,85,85,,1,,,,
?? ??????? ??,1400/02/01,31,63,78,23,66,91,91,,1,,,,
?? ??????? ??,1400/02/02,21,56,58,24,64,87,87,,1,,,,
?? ??????? ??,1400/02/03,19,56,55,14,67,82,82,,1,,,,
?? ??????? ??,1400/02/04,21,57,58,21,66,88,88,,1,,,,
?? ??????? ??,1400/02/05,19,52,52,17,51,70,70,,1,,,,
?? ??????? ??,1400/02/06,21,56,65,17,55,76,76,,1,,,,
?? ??????? ??,1400/02/07,19,56,58,13,59,78,78,,1,,,,
?? ??????? ??,1400/02/08,17,57,52,12,68,87,87,,1,,,,
?? ??????? ??,1400/02/09,17,55,51,11,56,77,77,,1,,,,
?? ??????? ??,1400/02/10,20,55,51,12,46,63,63,,1,,,,
?? ??????? ??,1400/02/11,25,81,77,14,46,69,81,,1,,,,
?? ??????? ??,1400/02/12,19,66,47,13,46,64,66,,1,,,,
?? ??????? ??,1400/02/13,20,53,49,13,43,62,62,,1,,,,
?? ??????? ??,1400/02/14,18,56,48,13,37,59,59,,1,,,,
?? ??????? ??,1400/02/15,20,59,62,21,40,66,66,,1,,,,
?? ??????? ??,1400/02/16,22,57,64,15,43,64,64,,1,,,,
?? ??????? ??,1400/02/17,19,54,49,11,45,66,66,,1,,,,
?? ??????? ??,1400/02/18,17,53,56,13,42,65,65,,1,,,,
?? ??????? ??,1400/02/19,19,58,63,16,50,75,75,,1,,,,
?? ??????? ??,1400/02/20,24,57,74,16,47,69,74,,1,,,,
?? ??????? ??,1400/02/21,16,63,52,15,47,68,68,,1,,,,
?? ??????? ??,1400/02/22,19,55,52,12,46,69,69,,1,,,,
?? ??????? ??,1400/02/23,18,61,51,12,57,77,77,,1,,,,
?? ??????? ??,1400/02/24,14,88,44,9,49,69,88,,1,,,,
?? ??????? ??,1400/02/25,19,58,56,13,39,65,65,,1,,,,
?? ??????? ??,1400/02/26,20,57,61,15,40,58,61,,1,,,,
?? ??????? ??,1400/02/27,23,58,66,14,43,62,66,,1,,,,
?? ??????? ??,1400/02/28,23,62,77,15,54,67,77,,1,,,,
?? ??????? ??,1400/02/29,29,57,65,18,61,75,75,,1,,,,
?? ??????? ??,1400/02/30,24,60,57,19,54,67,67,,1,,,,
?? ??????? ??,1400/02/31,27,55,71,17,48,65,71,,1,,,,
?? ??????? ??,1400/03/01,27,61,64,15,43,58,64,,1,,,,
?? ??????? ??,1400/03/02,27,56,69,19,47,59,69,,1,,,,
?? ??????? ??,1400/03/03,20,58,69,16,68,84,84,,1,,,,
?? ??????? ??,1400/03/04,21,55,61,18,62,82,82,,1,,,,
?? ??????? ??,1400/03/05,19,38,56,14,57,74,74,,1,,,,
?? ??????? ??,1400/03/06,17,53,53,11,55,75,75,,1,,,,
?? ??????? ??,1400/03/07,21,72,65,14,44,67,72,,1,,,,
?? ??????? ??,1400/03/08,27,99,79,16,44,68,99,,1,,,,
